2022-02-24 02:11:08.000292+00:00 nozzle: 1 | time: 1645668668.0001953 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.000786+00:00 nozzle: 3 | time: 1645668668.000716 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.001219+00:00 nozzle: 1 | time: 1645668668.0011528 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.001882+00:00 [INFO] onDur 0.028629922866821284 for nozzle 3 received.
2022-02-24 02:11:08.001882+00:00 [INFO] onDur 0.028629922866821284 for nozzle 3 received.
2022-02-24 02:11:08.002557+00:00 nozzle: 0 | time: 1645668668.002471 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.003187+00:00 nozzle: 1 | time: 1645668668.0031056 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.003773+00:00 [INFO] onDur 0.03486433029174804 for nozzle 2 received.
2022-02-24 02:11:08.003773+00:00 [INFO] onDur 0.03486433029174804 for nozzle 2 received.
2022-02-24 02:11:08.004753+00:00 [INFO] onDur 0.030455493927001948 for nozzle 1 received.
2022-02-24 02:11:08.004753+00:00 [INFO] onDur 0.030455493927001948 for nozzle 1 received.
2022-02-24 02:11:08.005572+00:00 nozzle: 0 | time: 1645668668.0054307 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.006133+00:00 nozzle: 1 | time: 1645668668.006043 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.006706+00:00 nozzle: 3 | time: 1645668668.0065825 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.007410+00:00 nozzle: 2 | time: 1645668668.0072348 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.008449+00:00 nozzle: 0 | time: 1645668668.0082521 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.009132+00:00 nozzle: 1 | time: 1645668668.0090039 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.010000+00:00 nozzle: 2 | time: 1645668668.009875 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.010592+00:00 nozzle: 3 | time: 1645668668.0105085 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.011163+00:00 nozzle: 1 | time: 1645668668.0110757 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.011663+00:00 nozzle: 0 | time: 1645668668.011592 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.012176+00:00 nozzle: 1 | time: 1645668668.012103 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.012627+00:00 nozzle: 1 | time: 1645668668.0125587 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.013074+00:00 nozzle: 1 | time: 1645668668.0130086 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.013517+00:00 nozzle: 2 | time: 1645668668.013451 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.013966+00:00 nozzle: 1 | time: 1645668668.013897 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.014390+00:00 nozzle: 0 | time: 1645668668.014326 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.014824+00:00 nozzle: 3 | time: 1645668668.014761 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.015308+00:00 nozzle: 2 | time: 1645668668.0152192 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.015795+00:00 nozzle: 3 | time: 1645668668.0157218 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.016250+00:00 nozzle: 1 | time: 1645668668.016179 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.016724+00:00 nozzle: 0 | time: 1645668668.016664 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.017165+00:00 nozzle: 2 | time: 1645668668.0170937 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.017575+00:00 nozzle: 1 | time: 1645668668.01751 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.018015+00:00 nozzle: 0 | time: 1645668668.017955 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.018423+00:00 nozzle: 1 | time: 1645668668.0183532 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.018807+00:00 nozzle: 3 | time: 1645668668.0187511 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.019199+00:00 nozzle: 3 | time: 1645668668.0191271 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.019544+00:00 nozzle: 1 | time: 1645668668.0194967 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.019810+00:00 nozzle: 2 | time: 1645668668.01977 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.020068+00:00 nozzle: 2 | time: 1645668668.0200248 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.020332+00:00 nozzle: 1 | time: 1645668668.020287 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.020690+00:00 nozzle: 1 | time: 1645668668.020629 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.021148+00:00 nozzle: 2 | time: 1645668668.021088 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.021507+00:00 nozzle: 3 | time: 1645668668.0214658 | location 0 | delay: 0 | duration: 0.15
